"id","japanese","english","const"
"1","%1 が作成したコンテンツ %2 の再編集許可をお願いします","Request for permission of reediting contents %2 created by %1",""
"2","%1 が作成したコンテンツ %2 の確認をお願いします","Request for validation of contents %2 created by %1",""
"3","[再編集許可依頼]","[Reedit permission request]",""
"4","[確認依頼]","[Validation request]",""
"5","課題","Issue","PD_C_ASGNCON_KIND_STR_ASSIGN"
"6","レビュー記録票","Review report","PD_C_ASGNCON_KIND_STR_REVIEW"
"7","障害処理票","Defect report","PD_C_ASGNCON_KIND_STR_SYOGAI"
"8","エラー","Error",""
"9","確認","Validate",""
"10","フォルダを選択してください","Please select the folder",""
"11","ファイルが見つかりません","The system cannot find the file specified.",""
"12","パスが見つかりません","The system cannot find the path specified.",""
"13","アクセスが拒否されました","Access is denied.",""
"14","ファイルが関連付けされていません","A device attached to the system is not functioning.",""
"15","ファイルが開けません","Unable to open the file",""
"16","コード","Code",""
"17","コンテンツ名が入力されていません","Contents' name not entered",""
"18","コンテンツ名が長すぎます","Contents' name is too long",""
"19","コンテンツ名に文字 ' は使用できません","Character ' cannot be used in contents' name",""
"20","備考が長すぎます","Note is too long",""
"21","備考に文字 ' は使用できません","Character ' cannot be used in note",""
"22","ファイル","File",""
"23","%1名を入力して下さい","Please enter %1 name",""
"24","%1名の先頭に '\' は使えません","\' cannot be used at the beginning of %1 name",""
"25","%1名に次の文字は使えません","Following characters cannot be used in %1 name",""
"26","エディタ起動に失敗しました","Failed to start editor",""
"27","フォルダ","Folder",""
"28","サーバファイル","Server file",""
"29","サーバフォルダ","Server folder",""
"30","リンク","Link",""
"31","ダミー","Dummy",""
"32","クリップ","Clip",""
"33","？","?",""
"34","未着手","Not started",""
"35","作業中","Working",""
"36","差し戻し","Send back",""
"37","再編集","Reedit",""
"38","仮確認依頼","Temporary validation request",""
"39","確認待ち","Waiting for validation",""
"40","確認中","Validating",""
"41","完","Finished",""
"42","再編集許可待ち","Waiting for reediting permission",""
"43","再編集許可検討中","Under examination of reediting permission",""
"44","ファイルの選択","Select file",""
"45","アクティビティ","Activity",""
"46","作業分野","Working field",""
"47","タスク","Task","PD_C_CEL_TEXT_TSK"
"48","プロセスフロー","Process flow",""
"49","ワークフロー","Workflow",""
"50","確認フロー","Validation flow",""
"51","ｱｸﾃｨﾋﾞﾃｨ","Activity",""
"52","ﾀｽｸ","Task",""
"53","ﾌﾟﾛｾｽﾌﾛｰ","Process flow",""
"54","ﾜｰｸﾌﾛｰ","Workflow",""
