"id","japanese"
"1","確認"
"2","%1 が作成したコンテンツ %2 の再編集許可をお願いします"
"3","%1 が作成したコンテンツ %2 の確認をお願いします"
"4","[再編集許可依頼]"
"5","[確認依頼]"
"6","課題"
"7","レビュー記録票"
"8","障害処理票"
"9","エラー"
"10","フォルダを選択してください"
"11","ファイルが見つかりません"
"12","パスが見つかりません"
"13","アクセスが拒否されました"
"14","ファイルが関連付けされていません"
"15","ファイルが開けません"
"16","コード"
"17","コンテンツ名が入力されていません"
"18","コンテンツ名が長すぎます"
"19","コンテンツ名に文字 ' は使用できません"
"20","備考が長すぎます"
"21","備考に文字 ' は使用できません"
"22","ファイル"
"23","%1名を入力して下さい"
"24","%1名の先頭に '\' は使えません"
"25","%1名に次の文字は使えません"
"26","エディタ起動に失敗しました"
"27","フォルダ"
"28","サーバファイル"
"29","サーバフォルダ"
"30","リンク"
"31","ダミー"
"32","クリップ"
"33","？"
"34","未着手"
"35","作業中"
"36","差し戻し"
"37","再編集"
"38","仮確認依頼"
"39","確認待ち"
"40","確認中"
"41","完"
"42","再編集許可待ち"
"43","再編集許可検討中"
"44","ファイルの選択"
"45","アクティビティ"
"46","作業分野"
"47","タスク"
"48","プロセスフロー"
"49","ワークフロー"
"50","確認フロー"
"51","ｱｸﾃｨﾋﾞﾃｨ"
"52","ﾀｽｸ"
"53","ﾌﾟﾛｾｽﾌﾛｰ"
"54","ﾜｰｸﾌﾛｰ"
"55","確認ﾌﾛｰ"
"56","業務"
"57","機能区分"
"58","モジュール"
"59","ﾓｼﾞｭｰﾙ"
"60","作業フォルダのファイルが古いです。サーバの物と置き換えますか？"
"61","作業フォルダの編集日時 "
"62","(未編集)"
"63","サーバの編集日時 "
"64","原因：ファイルが見つかりません"
"65","原因：ネットワーク名が見つかりません"
"66","原因：これ以上このリモートコンピュータに接続できません"
"67","参照できません %1"
"68","サーバ"
"69","データベースオープンでログインに失敗しました"
"70","データベースのオープンに失敗しました"
"71","データベースアクセスがタイムアウトしました"
"72","データベースアクセスでエラーが発生しました"
"73","データベース更新がタイムアウトしました"
"74","データベース更新でエラーが発生しました"
"75","登録元ファイルが存在しません"
"76","このファイル名は既に存在します"
"77","ファイルのコピーに失敗しました"
"78","ファイルコンテンツに変換できませんでした"
"79","このコンテンツは編集できません"
"80","フォルダが存在しません %1"
"81","このコンテンツは参照できません"
"82","作業フォルダへのコピーに失敗しました"
"83","承認作業中なので作業フォルダへのコピー／編集はできません"
"84","他のクライアント"
"85","クライアント '%1' "
"86","%1で編集中ですが、良いですか？"
"87","(採番しない)"
"88","(一覧参照/更新...)"
"89"," ∟"
"90","構成管理ツールのオープンに失敗しました"
"91","VSSのオープンに失敗しました"
"92","VSSのファイル情報の取得に失敗しました"
"93","チェックインに失敗しました"
"94","%1 が差し戻されました"
"95","%1 が引き渡されました"
"96","%1 の確認が完了しました"
"97","－"
"98","コンテンツ一覧"
"99","閉じる"
"100","参照"
"101","ＭＳ Ｐゴシック"
"102","%1名"
"103","コンテンツ名"
"104","状態"
"105","担当者"
"106","着手日"
"107","終了日"
"108","履歴一覧"
"109","削除"
"110","置換"
"111","出力"
"112","参照元フォルダが存在しません"
"113","ファイル出力"
"114","出力しました"
"115","フォルダ '%1' の出力先を選択して下さい"
"116","フォルダ '%1' は既に存在します。"
"117","上書きしても良いですか？"
"118","フォルダを作成できませんでした"
"119","エラーが発生しました"
"120","作業フォルダ上の%1ファイルが %2 時点のものに置き換わります。"
"121","現在までの変更が全て失われますが、続けますか？"
"122","サーバ上の%1ファイルが %2 時点のものに置き換わります。"
"123","コンテンツ情報の取得に失敗しました"
"124","置換しました"
"125","削除して良いですか？"
"126","ﾌｧｲﾙ"
"127","保存日時"
"128","ｺﾒﾝﾄ"
"129","%1元ファイルが存在しません"
"130","%1に失敗しました"
"131","コンテンツのプロパティ"
"132","作業ﾌｫﾙﾀﾞにｺﾋﾟｰ"
"133","作業ﾌｫﾙﾀﾞから破棄"
"134","ﾌｧｲﾙ名変更"
"135","サーバに移動"
"136","業務-機能区分："
"137","備考："
"138","ﾓｼﾞｭｰﾙ："
"139","種別："
